Szőcs Hunor,Cîrlan Dragoș,1814,170
Tóbiás András,Mitra Tamás,1789,177
Istvándi Hunor,Veres Alpár,1635,170
Kovács Barna,Joó Attila,1596,177
Kassay László,Borsi Patrick,1500,191
Kereki Dávid,Kerekes Szabolcs,1423,223
Mihály László,Bara Tamás,1344,184
Deményi Róbert,Nagy Mátyás,1314,200
Miklós Hunor,Vezsenyi Ákos,1314,200
Felházi Lóránd,Katona Dávid,1269,223
Kiss Borbála,Makkai József,1116,223
